Service:RDT-ID,date,Service:Type,Service:Company,Service:Train number,Service:Completely cancelled,Service:Partly cancelled,Service:Maximum delay,Stop:RDT-ID,Stop:Station code,station,Stop:Arrival time,Stop:Arrival delay,Stop:Arrival cancelled,Stop:Departure time,Stop:Departure delay,Stop:Departure cancelled
10367704,2023-01-01,Intercity,NS,1409,false,false,0,93067948,DT,Delft,2023-01-01T03:45:00+01:00,0,false,2023-01-01T03:45:00+01:00,0,false
10367704,2023-01-01,Intercity,NS,1409,false,false,0,93067949,RTD,Rotterdam Centraal,2023-01-01T03:58:00+01:00,0,false,,,
10367705,2023-01-01,Intercity,NS,1414,false,false,3,93067950,RTD,Rotterdam Centraal,,,,2023-01-01T03:00:00+01:00,1,false
10367705,2023-01-01,Intercity,NS,1414,false,false,0,93067951,DT,Delft,2023-01-01T03:12:00+01:00,0,false,2023-01-01T03:12:00+01:00,1,false
10367705,2023-01-01,Intercity,NS,1414,false,false,0,93067952,GV,Den Haag HS,2023-01-01T03:21:00+01:00,0,false,2023-01-01T03:22:00+01:00,0,false
10367705,2023-01-01,Intercity,NS,1414,false,false,0,93067953,LEDN,Leiden Centraal,2023-01-01T03:35:00+01:00,0,false,2023-01-01T03:40:00+01:00,0,false
10367705,2023-01-01,Intercity,NS,1414,false,false,0,93067954,SHL,Schiphol Airport,2023-01-01T03:56:00+01:00,1,false,2023-01-01T04:03:00+01:00,0,false
10367705,2023-01-01,Intercity,NS,1414,false,false,0,93067955,ASS,Amsterdam Sloterdijk,2023-01-01T04:12:00+01:00,0,false,2023-01-01T04:12:00+01:00,1,false
10367705,2023-01-01,Intercity,NS,1414,false,false,0,93067956,ASD,Amsterdam Centraal,2023-01-01T04:18:00+01:00,1,false,2023-01-01T04:19:00+01:00,3,false
10367705,2023-01-01,Intercity,NS,1414,false,false,0,93067957,ASB,Amsterdam Bijlmer ArenA,2023-01-01T04:29:00+01:00,3,false,2023-01-01T04:30:00+01:00,3,false
10367705,2023-01-01,Intercity,NS,1414,false,false,0,93067958,UT,Utrecht Centraal,2023-01-01T04:47:00+01:00,2,false,,,
10367706,2023-01-01,Nightjet,NS Int,402,false,false,28,93067959,FFFM,Frankfurt (M) Hbf,,,,2023-01-01T03:13:00+01:00,27,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067960,FNAF,Frankfurt Flughafen Fernb,2023-01-01T03:25:00+01:00,28,false,2023-01-01T03:29:00+01:00,25,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067961,FMZ,Mainz Hbf,2023-01-01T03:46:00+01:00,24,false,2023-01-01T03:48:00+01:00,24,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067962,KKO,Koblenz Hbf,2023-01-01T04:41:00+01:00,19,false,2023-01-01T04:43:00+01:00,19,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067963,BONN,Bonn Hbf,2023-01-01T05:24:00+01:00,16,false,2023-01-01T05:26:00+01:00,16,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067964,KOLN,Köln Hbf,2023-01-01T05:53:00+01:00,13,false,2023-01-01T05:56:00+01:00,14,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067965,DUSSEL,Düsseldorf Hbf,2023-01-01T06:23:00+01:00,10,false,2023-01-01T06:25:00+01:00,11,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067966,DUISB,Duisburg Hbf,2023-01-01T06:39:00+01:00,10,false,2023-01-01T06:42:00+01:00,11,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067967,AH,Arnhem Centraal,2023-01-01T07:51:00+01:00,0,false,2023-01-01T07:56:00+01:00,1,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067968,UT,Utrecht Centraal,2023-01-01T08:33:00+01:00,2,false,2023-01-01T08:36:00+01:00,1,false
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067969,ASB,Amsterdam Bijlmer ArenA,,,,,,
10367706,2023-01-01,Nightjet,NS Int,402,false,false,0,93067970,ASD,Amsterdam Centraal,2023-01-01T09:14:00+01:00,1,false,,,
10367707,2023-01-01,Intercity,NS,1413,false,false,10,93067971,UT,Utrecht Centraal,,,,2023-01-01T03:16:00+01:00,6,false
10367707,2023-01-01,Intercity,NS,1413,false,false,0,93067972,ASB,Amsterdam Bijlmer ArenA,2023-01-01T03:33:00+01:00,6,false,2023-01-01T03:33:00+01:00,7,false
10367707,2023-01-01,Intercity,NS,1413,false,false,0,93067973,ASD,Amsterdam Centraal,2023-01-01T03:44:00+01:00,6,false,2023-01-01T03:46:00+01:00,9,false
10367707,2023-01-01,Intercity,NS,1413,false,false,0,93067974,ASS,Amsterdam Sloterdijk,2023-01-01T03:52:00+01:00,9,false,2023-01-01T03:52:00+01:00,10,false
10367707,2023-01-01,Intercity,NS,1413,false,false,0,93067975,SHL,Schiphol Airport,2023-01-01T04:02:00+01:00,8,false,2023-01-01T04:05:00+01:00,7,false
10367707,2023-01-01,Intercity,NS,1413,false,false,0,93067976,LEDN,Leiden Centraal,2023-01-01T04:21:00+01:00,4,false,2023-01-01T04:23:00+01:00,4,false
10367707,2023-01-01,Intercity,NS,1413,false,false,0,93067977,GV,Den Haag HS,2023-01-01T04:37:00+01:00,0,false,2023-01-01T04:38:00+01:00,3,false
10367707,2023-01-01,Intercity,NS,1413,false,false,0,93067978,DT,Delft,2023-01-01T04:45:00+01:00,2,false,2023-01-01T04:45:00+01:00,3,false
10367707,2023-01-01,Intercity,NS,1413,false,false,0,93067979,RTD,Rotterdam Centraal,2023-01-01T04:58:00+01:00,0,false,,,
10367708,2023-01-01,Intercity,NS,1418,false,false,3,93067980,RTD,Rotterdam Centraal,,,,2023-01-01T04:00:00+01:00,3,false
10367708,2023-01-01,Intercity,NS,1418,false,false,0,93067981,DT,Delft,2023-01-01T04:13:00+01:00,1,false,2023-01-01T04:13:00+01:00,1,false
10367708,2023-01-01,Intercity,NS,1418,false,false,0,93067982,GV,Den Haag HS,2023-01-01T04:21:00+01:00,0,false,2023-01-01T04:22:00+01:00,0,false
10367708,2023-01-01,Intercity,NS,1418,false,false,0,93067983,LEDN,Leiden Centraal,2023-01-01T04:35:00+01:00,0,false,2023-01-01T04:40:00+01:00,0,false
10367708,2023-01-01,Intercity,NS,1418,false,false,0,93067984,SHL,Schiphol Airport,2023-01-01T04:56:00+01:00,0,false,2023-01-01T05:02:00+01:00,0,false
10367708,2023-01-01,Intercity,NS,1418,false,false,0,93067985,ASS,Amsterdam Sloterdijk,2023-01-01T05:11:00+01:00,0,false,2023-01-01T05:11:00+01:00,0,false
10367708,2023-01-01,Intercity,NS,1418,false,false,0,93067986,ASD,Amsterdam Centraal,2023-01-01T05:17:00+01:00,0,false,2023-01-01T05:19:00+01:00,2,false
10367708,2023-01-01,Intercity,NS,1418,false,false,0,93067987,ASB,Amsterdam Bijlmer ArenA,2023-01-01T05:29:00+01:00,1,false,2023-01-01T05:30:00+01:00,1,false
10367708,2023-01-01,Intercity,NS,1418,false,false,0,93067988,UT,Utrecht Centraal,2023-01-01T05:47:00+01:00,0,false,,,
