category,name
aggregate,Aggregate
append,Append
bulkupdate,Bulk Update
cast,Cast
csv,CSV
in,In
micro,Micro
startup,Startup
storage,Storage
string,String
tpcds-sf1,TPC-DS
tpch-sf1,TPC-H
